Topic,Subtopic,Suggested Citation,Title/Description,Link to Video,Length of Video,Year Created,EI/ECSE Standards,DEC Recommended Practices,,
Assessment,Developmental Monitoring ,"American Academy of Pediatrics. (2018, May 21). Development Surveillance: What, Why and How [Video]. YouTube. https://www.youtube.com/watch?v=sceYLUHhgnU","Developmental Surveillance: What, Why and How:  American Academy of Pediatrics Pediatrician, Dr. Shelly Flais discusses developmental surveillance recommendations, tips, and resources available to pediatricians, clinicians, and families. Together, surveillance and screening are essential components to promote the optimal development of children.",https://www.youtube.com/watch?v=sceYLUHhgnU,6:30,2018,4.1,A2,,
Assessment,IFSP or  IEP Development,"Amy Casey. (2012, December 20). McWilliam on RBI and Early Intervention [Video]. YouTube. https://www.youtube.com/watch?v=yhcUotSkYAY","McWilliam on RBI and Early Intervention: Explanation of the evidence-based Routines Based Interview as a family assessment: supports families identify  their children's needs and family-level needs, provides context for assessment and intervention, results in plan that drives service, and provides a meaningful method to participate in the development of the IFSP or IEP. ",https://www.youtube.com/watch?v=yhcUotSkYAY,13:13,2012,4.1,A7,,
Assessment,Authentic Assessment,Colorado Department of Education. (2011). Using the iPod Touch and iPhone to Record Video and Photographic Documentation [Video]. YouTube. https://www.youtube.com/watch?v=qO-UZMif0j4,"Using the iPod Touch and iPhone to Record Video and Photographic Documentation: Three teachers discuss and illustrate how they use the iPhone and iPod Touch to record, watch, and share video and photographs as part of child observation. ",https://www.youtube.com/watch?v=qO-UZMif0j4  ,3:53,2011,4.2,A6,,
Assessment,Authentic Assessment,Colorado Department of Education. (2011). Using iPod Touch and Dragon Dictation to Record Observation notes [Video]. YouTube. https://www.youtube.com/watch?v=uL0pmADRInA,Using iPod Touch and Dragon Dictation to Record Observation notes: Illustrates how early care and education providers can use the free Dragon Dictation app on the iPod Touch to document observation notes.,https://www.youtube.com/watch?v=uL0pmADRInA,3:15,2011,4.2,A6,,
Assessment,Authentic Assessment,Colorado Department of Education. (2021). What is Authentic Assessment? [Video]. YouTube. https://www.youtube.com/watch?v=TmgrGdXAJJM,What Is Authentic Assessment?: Practitioners and families share their perspective on authentic assessment. Illustrates the primary features and purposes of authentic assessment in a classroom setting.,https://www.youtube.com/watch?v=TmgrGdXAJJM,3:02,2021,4.1,A6,,
Assessment,Authentic Assessment,Colorado Department of Education. (2021). Using Child Assessment Data to Achieve Positive Outcomes [Video]. YouTube. https://www.youtube.com/watch?v=PtR24V8z9_w,"Using Child Assessment Data to Achieve Positive Outcomes: Administrators and teachers illustrate how they use authentic child assessment data to: (1) inform funders, (2) inform classroom instruction (begins at 5:15), (3) meet the needs of individual children (begins at 7:15 and again at 12:18), (4) share with families (begins at 8:55), and (5) supports teachers (begins at 10:28).",https://www.youtube.com/watch?v=PtR24V8z9_w,14:20,2021,4.4,INS3,,
Assessment,Authentic Assessment,Colorado Department of Education. (2021). Sharing Video Documentation with Families [Video]. YouTube.https://www.youtube.com/watch?v=uqzOTWJITlU,Sharing Video Documentation with Families: Christina Devarona provides a powerful illustration of how video can help understand children’s learning and development and share that information with families.,https://www.youtube.com/watch?v=uqzOTWJITlU,2:47,2021,4.3,A11,,
Assessment,Authentic Assessment ,NCQTL Media Team. (2021). Children with Disabilities [Video]. Head Start Early Childhood Learning and Knowledge Center. https://eclkc.ohs.acf.hhs.gov/video/children-disabilities,Children with Disabilities: Describes how to use ongoing assessment data when teaching children with disabilities and how to adjust your teaching methods and provide additional support.,https://eclkc.ohs.acf.hhs.gov/video/children-disabilities,5:52,2021,4.2,A10,,
Assessment,Formative Assessment,The Center to Mobilize Early Childhood Education. (N.D.). CONNECT Video 7.4: Formative Assessment (Social emotional Development) [Video]. Division for Early Childhood. https://connectmodules.dec-sped.org/connect-modules/resources/videos/video-7-4/,CONNECT Video 7.4: Formative Assessment (Social emotional Development): A teacher conducts a formative assessment by observing and recording information about children in her classroom during center time.,https://connectmodules.dec-sped.org/connect-modules/resources/videos/video-7-4/,0:53,,4.4,A6,,
Assessment,Formative Assessment,The Center to Mobilize Early Childhood Education. (n.d.). CONNECT Video 7.5: Formative Assessment (Academic Learning) [Video]. Division for Early Childhood. https://connectmodules.dec-sped.org/connect-modules/resources/videos/video-7-5/,CONNECT Video 7.5: Formative Assessment (Academic Learning): A teacher conducts a formative assessment with a child on her knowledge of parts of words.,https://connectmodules.dec-sped.org/connect-modules/resources/videos/video-7-5/,1:19,,4.4,INS3,,
