ID,Difficulty,Question,Option A,Option B,Option C,Option D,Answer,Teaching Explanation
1,Intermediate,What is the best practice for handwashing?,Use the recommended method for handwashing,Avoid the recommended method for handwashing,Try a random approach to handwashing,Ask peers about handwashing first,A,"The correct approach for handwashing is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
2,Easy,What is the best practice for observation techniques?,Use the recommended method for observation techniques,Avoid the recommended method for observation techniques,Try a random approach to observation techniques,Ask peers about observation techniques first,A,"The correct approach for observation techniques is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
3,Intermediate,What is the best practice for formative assessment?,Use the recommended method for formative assessment,Avoid the recommended method for formative assessment,Try a random approach to formative assessment,Ask peers about formative assessment first,A,"The correct approach for formative assessment is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
4,Intermediate,What is the best practice for formative assessment?,Use the recommended method for formative assessment,Avoid the recommended method for formative assessment,Try a random approach to formative assessment,Ask peers about formative assessment first,A,"The correct approach for formative assessment is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
5,Intermediate,What is the best practice for handwashing?,Use the recommended method for handwashing,Avoid the recommended method for handwashing,Try a random approach to handwashing,Ask peers about handwashing first,A,"The correct approach for handwashing is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
6,Difficult,What is the best practice for formative assessment?,Use the recommended method for formative assessment,Avoid the recommended method for formative assessment,Try a random approach to formative assessment,Ask peers about formative assessment first,A,"The correct approach for formative assessment is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
7,Intermediate,What is the best practice for gross motor skills?,Use the recommended method for gross motor skills,Avoid the recommended method for gross motor skills,Try a random approach to gross motor skills,Ask peers about gross motor skills first,A,"The correct approach for gross motor skills is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
8,Expert,What is the best practice for emergent literacy?,Use the recommended method for emergent literacy,Avoid the recommended method for emergent literacy,Try a random approach to emergent literacy,Ask peers about emergent literacy first,A,"The correct approach for emergent literacy is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
9,Expert,What is the best practice for observation techniques?,Use the recommended method for observation techniques,Avoid the recommended method for observation techniques,Try a random approach to observation techniques,Ask peers about observation techniques first,A,"The correct approach for observation techniques is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
10,Intermediate,What is the best practice for positive reinforcement?,Use the recommended method for positive reinforcement,Avoid the recommended method for positive reinforcement,Try a random approach to positive reinforcement,Ask peers about positive reinforcement first,A,"The correct approach for positive reinforcement is to follow established guidelines that ensure safety and developmental appropriateness, making Option A the best practice."
