Sub-Competency,Difficulty,Question,Option A,Option B,Option C,Option D,Answer,Story (Why),Why Behind It,Teaching Explanation,Science Behind It,Implementation (How),Reflection / Considerations,Child Impact Story
Diapering Safety,Easy,"During a sudden diaper blowout during storytime, what’s the best practice for diapering safety?",Implement the recommended steps for diapering safety focusing on safety and engagement.,Option B plausible but incorrect for diapering safety,Option C distractor for diapering safety,Option D silly distractor for diapering safety,A,"Story: During a sudden diaper blowout during storytime, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Intermediate,"During an unexpected sneeze mid-change, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,Option C distractor for diapering safety,Option D silly distractor for diapering safety,B,"Story: During an unexpected sneeze mid-change, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Difficult,"During the legendary fingerpaint explosion, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Option B plausible but incorrect for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,Option D silly distractor for diapering safety,C,"Story: During the legendary fingerpaint explosion, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Expert,"During an unexpected sneeze mid-change, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Option B plausible but incorrect for diapering safety,Option C distractor for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,D,"Story: During an unexpected sneeze mid-change, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Easy,"During a toddler sliding off the changing table, what’s the best practice for diapering safety?",Implement the recommended steps for diapering safety focusing on safety and engagement.,Option B plausible but incorrect for diapering safety,Option C distractor for diapering safety,Option D silly distractor for diapering safety,A,"Story: During a toddler sliding off the changing table, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Intermediate,"During a toddler sliding off the changing table, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,Option C distractor for diapering safety,Option D silly distractor for diapering safety,B,"Story: During a toddler sliding off the changing table, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Difficult,"During a toddler sliding off the changing table, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Option B plausible but incorrect for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,Option D silly distractor for diapering safety,C,"Story: During a toddler sliding off the changing table, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Expert,"During an unexpected sneeze mid-change, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Option B plausible but incorrect for diapering safety,Option C distractor for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,D,"Story: During an unexpected sneeze mid-change, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Easy,"During a sudden diaper blowout during storytime, what’s the best practice for diapering safety?",Implement the recommended steps for diapering safety focusing on safety and engagement.,Option B plausible but incorrect for diapering safety,Option C distractor for diapering safety,Option D silly distractor for diapering safety,A,"Story: During a sudden diaper blowout during storytime, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
Diapering Safety,Intermediate,"During a toddler sliding off the changing table, what’s the best practice for diapering safety?",Option A correct action for diapering safety,Implement the recommended steps for diapering safety focusing on safety and engagement.,Option C distractor for diapering safety,Option D silly distractor for diapering safety,B,"Story: During a toddler sliding off the changing table, using the practice for diapering safety led to a positive outcome.","• Key reason 1 for diapering safety
• Key reason 2 for diapering safety
• Key reason 3 for diapering safety",Teaching explanation for why the correct action works in diapering safety.,Scientific rationale behind diapering safety practice.,Step-by-step implementation strategy for diapering safety.,Reflection prompt for diapering safety strategy.,Child impact story demonstrating diapering safety success.
