question,correct_answer,option_a,option_b,option_c,option_d,question_type,difficulty,domain,sub_domain,tags,time_limit,points
"What is an age-appropriate activity for a 3-year-old?","A","Simple puzzles with 3-5 pieces","Reading chapter books independently","Multiplication tables","Writing a 5-paragraph essay",multiple_choice,1,"Child Development","Developmental Milestones","activities,toddlers,development",60,10
"Which of the following is NOT a characteristic of secure attachment?","D","Seeking comfort from caregivers when distressed","Exploring the environment when feeling secure","Using the caregiver as a secure base","Avoiding contact with caregivers after separation",multiple_choice,2,"Child Development","Attachment Theory","attachment,social development,emotional development",45,15
"What is the primary purpose of formative assessment in early childhood education?","To guide instruction and provide feedback for improvement","To guide instruction and provide feedback for improvement","To assign grades at the end of a unit","To compare children to their peers","To decide promotion to the next grade level",multiple_choice,2,"Assessment","Formative Assessment","assessment,teaching strategies,feedback",60,15
"True or False: Developmentally Appropriate Practice (DAP) is based on knowledge about how children develop and learn.","True",,,,,true_false,1,"Building Chapters","Developmentally Appropriate Practice","DAP,teaching philosophy,NAEYC",30,5
"What is the recommended adult-to-child ratio for a preschool classroom (3-5 years)?","1:10","1:10","1:3","1:20","1:15",multiple_choice,2,"Classroom Management","Ratios and Group Size","classroom organization,safety,supervision",45,10
"Which of the following is an example of open-ended art material?","B","Coloring sheets","Clay","Craft kits with pre-cut pieces","Connect-the-dots worksheets",multiple_choice,1,"Building Chapters","Creative Arts","creativity,art,self-expression",30,10
"In Vygotsky's Zone of Proximal Development, what role does the adult play?","C","Observer","Evaluator","Scaffold provider","Disciplinarian",multiple_choice,3,"Child Development","Learning Theories","Vygotsky,scaffolding,ZPD",45,20
"Which of the following best describes the concept of 'serve and return' in child development?","A","When a child initiates interaction and an adult responds appropriately","When a child follows adult directions","When a child takes turns with peers","When a child develops independence",multiple_choice,2,"Child Development","Brain Development","interaction,communication,brain development",60,15
"What is the primary purpose of a visual schedule in a preschool classroom?","D","To decorate the classroom walls","To impress visiting parents","To satisfy licensing requirements","To provide predictability and reduce anxiety",multiple_choice,1,"Classroom Management","Visual Supports","schedules,transitions,routines",30,10
"True or False: Play is the primary way young children learn and develop.","True",,,,,true_false,1,"Building Chapters","Play-Based Learning","play,learning,development",30,5
