Difficulty,Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Standard Reference
1,"Health, Safety & Nutrition","Level 1: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
1,"Health, Safety & Nutrition","Level 1: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,"Health, Safety & Nutrition","Level 1: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
1,"Health, Safety & Nutrition","Level 1: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
1,Child Development & Learning,"Level 1: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
1,Child Development & Learning,"Level 1: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,Child Development & Learning,"Level 1: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
1,Child Development & Learning,"Level 1: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
1,Curriculum & Learning Environment,"Level 1: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
1,Curriculum & Learning Environment,"Level 1: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,CLASS Emotional Support Domain
1,Curriculum & Learning Environment,"Level 1: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
1,Curriculum & Learning Environment,"Level 1: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,Family & Community Partnerships,"Level 1: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
1,Family & Community Partnerships,"Level 1: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,Family & Community Partnerships,"Level 1: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
1,Family & Community Partnerships,"Level 1: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,CLASS Emotional Support Domain
1,Program Management & Professionalism,"Level 1: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,Program Management & Professionalism,"Level 1: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,CLASS Emotional Support Domain
1,Program Management & Professionalism,"Level 1: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
1,Program Management & Professionalism,"Level 1: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 1?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
2,"Health, Safety & Nutrition","Level 2: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,"Health, Safety & Nutrition","Level 2: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,"Health, Safety & Nutrition","Level 2: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
2,"Health, Safety & Nutrition","Level 2: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Child Development & Learning,"Level 2: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Child Development & Learning,"Level 2: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,CLASS Emotional Support Domain
2,Child Development & Learning,"Level 2: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Child Development & Learning,"Level 2: In the domain of Child Development & Learning, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
2,Curriculum & Learning Environment,"Level 2: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Curriculum & Learning Environment,"Level 2: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
2,Curriculum & Learning Environment,"Level 2: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Curriculum & Learning Environment,"Level 2: In the domain of Curriculum & Learning Environment, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,Arizona Early Learning Standard 4.A
2,Family & Community Partnerships,"Level 2: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
2,Family & Community Partnerships,"Level 2: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
2,Family & Community Partnerships,"Level 2: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
2,Family & Community Partnerships,"Level 2: In the domain of Family & Community Partnerships, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,CLASS Emotional Support Domain
2,Program Management & Professionalism,"Level 2: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Program Management & Professionalism,"Level 2: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ECERS-R Item 5
2,Program Management & Professionalism,"Level 2: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,NAC Standard 2.1
2,Program Management & Professionalism,"Level 2: In the domain of Program Management & Professionalism, which practice best aligns with established ECE standards at difficulty level 2?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
3,"Health, Safety & Nutrition","Level 3: In the domain of Health, Safety & Nutrition, which practice best aligns with established ECE standards at difficulty level 3?",Strongly aligns with standards,Partially aligns with standards,Minimally aligns with standards,Contradicts best practices,A,ITERS-R Indicator 3
