ID,domain,sub_competency,difficulty,q_type,Question,Option A,Option B,Option C,Option D,Answer,Teaching Explanation,Story (Why),Implementation (How),Reflection / Considerations,Child Impact Story,Science Behind It,Practical Application Strategy,Why Behind It,resources
1,Curriculum,developmentally appropriate practice,4,mcq,What is the best practice for developmentally appropriate practice?,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety.",Try a random approach to developmentally appropriate practice without preparation.,Skip developmentally appropriate practice and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for developmentally appropriate practice? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,Consider how this developmentally appropriate practice strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,"• Matches activities to each child’s abilities
• Prevents frustration or boredom
• Promotes optimal learning outcomes","[""developmentally_appropriate_practice_video"", ""developmentally_appropriate_practice_quiz""]"
2,Social-Emotional Development,attachment building,2,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
3,Social-Emotional Development,attachment building,1,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
4,Teaching Strategies,scaffolding,2,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
5,Language & Literacy,emergent literacy,3,mcq,What is the best practice for emergent literacy?,"Follow the proper steps for emergent literacy, ensuring consistency and safety.",Try a random approach to emergent literacy without preparation.,Skip emergent literacy and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for emergent literacy? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,Consider how this emergent literacy strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,"• Embeds literacy in meaningful, playful contexts
• Fosters awareness of symbols and text
• Encourages creative expression with language","[""emergent_literacy_video"", ""emergent_literacy_quiz""]"
6,Teaching Strategies,scaffolding,4,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
7,Physical Development,gross motor skills,3,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
8,Health & Safety,diapering safety,3,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
9,Physical Development,fine motor skills,1,mcq,What is the best practice for fine motor skills?,"Follow the proper steps for fine motor skills, ensuring consistency and safety.",Try a random approach to fine motor skills without preparation.,Skip fine motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for fine motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for fine motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for fine motor skills in a short role-play and have teachers practice.,Consider how this fine motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for fine motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for fine motor skills in a short role-play and have teachers practice.,"• Develops hand-eye coordination
• Strengthens small muscle groups
• Prepares children for writing and self-care","[""fine_motor_skills_video"", ""fine_motor_skills_quiz""]"
10,Social-Emotional Development,trauma-informed care,2,mcq,What is the best practice for trauma-informed care?,"Follow the proper steps for trauma-informed care, ensuring consistency and safety.",Try a random approach to trauma-informed care without preparation.,Skip trauma-informed care and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for trauma-informed care? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,Consider how this trauma-informed care strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,"• Validates children’s feelings and experiences
• Builds safety and trust in the environment
• Reduces risk of re-traumatization","[""trauma-informed_care_video"", ""trauma-informed_care_quiz""]"
